time,seconds_elapsed,z,y,x
1686206071602471400,1429.7774714355469,-191.2431640625,21.24688720703125,-1.385040283203125
1686206081601743600,1439.7767436523438,-200.4175262451172,2.41058349609375,-6.166961669921875
1686206091600278300,1449.7752783203125,-190.01788330078125,5.64599609375,-3.964019775390625
1686206101599709200,1459.7747092285156,-174.92678833007812,4.4008636474609375,-1.733795166015625
1686206111598011000,1469.773010986328,-212.2285919189453,7.0772247314453125,2.7826690673828125
1686206121597043000,1479.77204296875,-184.12059020996094,-10.59368896484375,-8.7940673828125
1686206131595334400,1489.7703344726563,-180.7884063720703,-5.475616455078125,-6.2294158935546875
1686206141594021000,1499.7690212402345,-177.1475067138672,-2.0243682861328125,-1.0395965576171875
1686206151592568800,1509.7675688476563,-173.6571502685547,-0.25897216796875,-6.114959716796875
1686206161591496200,1519.76649609375,-184.3644561767578,4.9161834716796875,-6.3461761474609375
1686206171590254000,1529.7652541503905,-206.2914276123047,12.814285278320312,-29.898284912109375
1686206181588830200,1539.7638303222657,-184.137939453125,11.838455200195312,-31.653656005859375
1686206191586723300,1549.761723388672,-227.08901977539062,6.56268310546875,-30.290359497070312
1686206201585140700,1559.760140625,-236.08396911621094,13.048416137695312,-20.553543090820312
1686206211583604200,1569.7586042480468,-186.21607971191406,3.1014862060546875,-27.631027221679688
1686206221581837000,1579.756837158203,-205.71151733398438,11.599716186523438,-3.9665374755859375
1686206231579601700,1589.7546015625,-201.64840698242188,9.045120239257812,-0.1484832763671875
1686206241577459500,1599.7524594726563,-213.5352325439453,-45.67033386230469,0.30743408203125
1686206251575237400,1609.7502373046875,-208.474609375,-4.6869659423828125,-10.7928466796875
1686206261572830500,1619.7478305664063,-196.65234375,-5.73211669921875,2.93267822265625
1686206271570985500,1629.7459853515625,-210.39144897460938,-29.674591064453125,30.812255859375
1686206281569988000,1639.7449880371094,-234.05035400390625,-81.49140930175781,-13.041656494140625
1686206291568759600,1649.7437595214844,-242.87448120117188,-72.68220520019531,-10.148452758789062
