startDate,endDate,value
2023-06-10 07:57:50 +0000,2023-06-10 07:57:50 +0000,79
2023-06-10 07:57:59 +0000,2023-06-10 07:57:59 +0000,72
2023-06-10 07:58:04 +0000,2023-06-10 07:58:04 +0000,72
2023-06-10 07:58:06 +0000,2023-06-10 07:58:06 +0000,72
2023-06-10 07:58:14 +0000,2023-06-10 07:58:14 +0000,74
2023-06-10 07:58:15 +0000,2023-06-10 07:58:15 +0000,74
2023-06-10 07:58:20 +0000,2023-06-10 07:58:20 +0000,71
2023-06-10 07:58:26 +0000,2023-06-10 07:58:26 +0000,71
2023-06-10 07:58:34 +0000,2023-06-10 07:58:34 +0000,74
2023-06-10 07:58:35 +0000,2023-06-10 07:58:35 +0000,73
2023-06-10 07:58:44 +0000,2023-06-10 07:58:44 +0000,68
2023-06-10 07:58:45 +0000,2023-06-10 07:58:45 +0000,69
2023-06-10 07:58:50 +0000,2023-06-10 07:58:50 +0000,68
2023-06-10 07:58:56 +0000,2023-06-10 07:58:56 +0000,71
2023-06-10 07:59:04 +0000,2023-06-10 07:59:04 +0000,66
2023-06-10 07:59:07 +0000,2023-06-10 07:59:07 +0000,67
2023-06-10 07:59:11 +0000,2023-06-10 07:59:11 +0000,66
2023-06-10 07:59:15 +0000,2023-06-10 07:59:15 +0000,65
2023-06-10 07:59:24 +0000,2023-06-10 07:59:24 +0000,70
2023-06-10 07:59:25 +0000,2023-06-10 07:59:25 +0000,70
2023-06-10 07:59:34 +0000,2023-06-10 07:59:34 +0000,73
2023-06-10 07:59:39 +0000,2023-06-10 07:59:39 +0000,73
2023-06-10 07:59:41 +0000,2023-06-10 07:59:41 +0000,72
2023-06-10 07:59:45 +0000,2023-06-10 07:59:45 +0000,70
2023-06-10 07:59:52 +0000,2023-06-10 07:59:52 +0000,70
2023-06-10 07:59:59 +0000,2023-06-10 07:59:59 +0000,67
2023-06-10 08:00:03 +0000,2023-06-10 08:00:03 +0000,68
2023-06-10 08:00:05 +0000,2023-06-10 08:00:05 +0000,68
2023-06-10 08:00:14 +0000,2023-06-10 08:00:14 +0000,71
2023-06-10 08:00:19 +0000,2023-06-10 08:00:19 +0000,71
2023-06-10 08:00:24 +0000,2023-06-10 08:00:24 +0000,71
2023-06-10 08:00:25 +0000,2023-06-10 08:00:25 +0000,70
2023-06-10 08:00:34 +0000,2023-06-10 08:00:34 +0000,70
