,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:18.078849500,0.9545887036172848,0.5052259187241201,-0.25925931242329336,-0.8447402777745576,0.421168201925436,0.25164089120615696,80.5,1.53,1,0,0,0,0,-86.94963961104085,-41.66456208371652,-217.70467727849126,-0.10586514576931634,0.008059530834832438,-0.4695511135752583,-0.07741964612888702
2023-06-10 09:18:18.578849500,0.9622588629231891,0.5752218566855116,-0.15727895055729732,-0.6646936187546922,0.14676166393640866,0.005876204709179932,80.0,1.53,1,0,0,0,0,-84.99039273749963,-39.30819843955311,-220.6239540070848,-0.15387927844036325,0.020882209189109314,-0.47640483938795225,-0.0655484176735185
2023-06-10 09:18:19.078849500,0.9821378321838351,0.6876333086469898,-0.11063704329136391,-0.39024719443372574,-0.24030961372437015,-0.19744186084865833,79.83333333333333,0.985,1,0,0,0,0,-86.39838798397562,-33.90430935616976,-224.36857486367512,-0.21516007219309002,-0.023474078293946966,-0.47934693542168333,-0.0033072370292940487
2023-06-10 09:18:19.578849500,0.9757857588626517,0.7805288920878134,-0.12702249700218898,-0.2694288605973024,-0.31719874156641154,-0.2874850344671451,79.66666666666667,0.44,1,0,0,0,0,-90.7752725071154,-28.549270318213388,-228.98205210958966,-0.2553459499928232,-0.08981949835155316,-0.46420296687511503,0.051287310690795694
2023-06-10 09:18:20.078849500,0.9183636660296373,0.8204909749500686,-0.14710438733153774,-0.2247131985801886,-0.04698726339831595,-0.2646346183201617,79.5,0.22,1,0,0,0,0,-95.13205850621102,-24.900284007298044,-232.857415125325,-0.2704841059636646,-0.1383173321230443,-0.4308402764070643,0.06900173275071521
2023-06-10 09:18:20.578849500,0.8410968483641654,0.808174929311404,-0.14690031491921213,-0.07922856478310333,0.21889445165304955,-0.15441357320333227,79.33333333333333,0.0,1,0,0,0,0,-97.36665122819508,-23.606880807328366,-234.84323181214035,-0.2654477751538837,-0.176799958957112,-0.40289317460882185,0.07928849485560814
2023-06-10 09:18:21.078849500,0.8071008793036938,0.7593647242242193,-0.16561568632255078,0.10826697891451524,0.22956804552285798,0.0057417382305547,79.16666666666667,0.0,1,0,0,0,0,-98.17215249210662,-24.45763308582752,-235.41026160605313,-0.24204820871550212,-0.1874917378832972,-0.39594346833789174,0.07017719911937191
2023-06-10 09:18:21.578849500,0.8501149132560121,0.6930544105827899,-0.2197672195338069,0.14521046039762237,0.10325061439081828,0.17148348980279848,79.0,0.0,1,0,0,0,0,-99.06483134993533,-26.067439569517514,-235.5576960526506,-0.20761558250263454,-0.19103717246900778,-0.41272783028615445,0.06113387884446951
2023-06-10 09:18:22.078849500,0.9501279604766081,0.6328537176335692,-0.2543486008735099,0.04739997008645977,0.07443755707802684,0.28197247047969376,78.83333333333333,0.0,1,0,0,0,0,-99.69526537556737,-27.04084144506482,-235.55011088831844,-0.1838763417725537,-0.18478640641099192,-0.4412163269938801,0.054477906555178174
2023-06-10 09:18:22.578849500,1.0560821620334397,0.6073285076156619,-0.2209141803171372,0.03244790000498733,0.16480704679705266,0.2424584351886494,78.66666666666667,0.0,1,0,0,0,0,-98.49353342953975,-27.407224013818592,-235.2712794422086,-0.18667322525336905,-0.16504840993852557,-0.47139747226523326,0.053839620090900306
