,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:41:44.578849500,0.34770995,0.87622255,0.33312622,-0.024975456,-0.02007794,-0.016580965,75.0,0.0,0,0,0,1,0,-133.9124,7.787393,-187.26051
2023-06-10 09:41:45.078849500,0.35220462,0.8744326,0.3330617,0.024818094,-0.010586055,0.003679322,,,0,0,0,1,0,-133.85353,7.910101,-187.07089
2023-06-10 09:41:45.578849500,0.35496825,0.8767136,0.32654235,0.00918831,0.013620487,0.0064581493,,0.0,0,0,0,1,0,-133.66228,7.9026957,-187.48184
2023-06-10 09:41:46.078849500,0.3545108,0.8727692,0.3328494,0.004980872,-0.0077079977,0.008751452,,,0,0,0,1,0,-133.68411,7.9879527,-187.55334
2023-06-10 09:41:46.578849500,0.36260393,0.87298834,0.32644778,-0.00082816323,-0.006355719,-0.0025258379,,0.0,0,0,0,1,0,-133.27504,7.8099604,-187.28918
2023-06-10 09:41:47.078849500,0.3627124,0.87301666,0.3275232,0.0042539686,0.009687312,-0.0013444968,,,0,0,0,1,0,-133.35094,7.9789286,-187.48811
2023-06-10 09:41:47.578849500,0.3681662,0.872345,0.32043305,0.034435466,0.0005178435,0.025221875,,0.0,0,0,0,1,0,-133.10222,8.0931635,-187.8205
2023-06-10 09:41:48.078849500,0.3728893,0.87179065,0.3162272,0.016090797,0.018428372,0.011951611,,,0,0,0,1,0,-132.55658,8.744768,-188.24266
2023-06-10 09:41:48.578849500,0.37955138,0.8715079,0.3115033,0.003224236,-0.012999443,-0.0013999864,,0.0,0,0,0,1,0,-132.49728,8.62531,-187.91142
2023-06-10 09:41:49.078849500,0.3776584,0.87098205,0.31335816,0.0015444487,0.0075122775,-0.0009201656,,,0,0,0,1,0,-132.49904,8.691297,-188.13521
2023-06-10 09:41:49.578849500,0.37810564,0.87135035,0.31317762,0.004476023,0.0014441471,-0.0024867693,,0.0,0,0,0,1,0,-132.38686,8.6469145,-188.09003
2023-06-10 09:41:50.078849500,0.37442443,0.87118286,0.3175174,-0.005892015,0.013534216,-0.004566405,,,0,0,0,1,0,-132.55461,8.387144,-188.03838
2023-06-10 09:41:50.578849500,0.37131226,0.86849916,0.32317504,0.006285413,0.00021772161,-0.006602851,,0.0,0,0,0,1,0,-132.76398,8.363464,-187.76814
2023-06-10 09:41:51.078849500,0.37562653,0.87271833,0.3162465,0.0029835287,-0.002085415,-0.00022257629,,,0,0,0,1,0,-132.62679,8.42021,-187.88171
2023-06-10 09:41:51.578849500,0.37366393,0.870712,0.31905517,0.01158858,0.0010530406,0.0042698514,,0.0,0,0,0,1,0,-132.62778,8.4756365,-187.82523
2023-06-10 09:41:52.078849500,0.3778012,0.87079954,0.31523225,0.0069989613,0.0044419677,0.00023193957,,,0,0,0,1,0,-132.43874,8.611579,-188.02437
2023-06-10 09:41:52.578849500,0.3765461,0.8706266,0.31630537,-0.00034405378,-0.00069081865,-0.005265448,73.0,0.0,0,0,0,1,0,-132.5447,8.493563,-187.93475
2023-06-10 09:41:53.078849500,0.3741522,0.87061095,0.31786865,0.008150806,-0.00032412843,-0.0010640688,,,0,0,0,1,0,-132.67162,8.457806,-187.54369
2023-06-10 09:41:53.578849500,0.3795947,0.87179536,0.31127837,0.011997456,-0.00661387,0.0033660652,,0.0,0,0,0,1,0,-132.38385,8.72619,-187.80577
2023-06-10 09:41:54.078849500,0.37870196,0.8699213,0.31387672,0.004484593,0.020269984,0.0015368037,,,0,0,0,1,0,-132.33366,8.687782,-187.9193
