,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 10:23:41.078849500,0.2527407,-0.2985547,-0.89308196,0.50069803,-0.17172031,-0.5327966,111.66666666666667,1,0,0,0,0,-102.64778,-38.403435,-246.5791
2023-06-10 10:23:42.078849500,0.16153152,-0.35601288,-0.9027431,-0.0729671,-0.050483957,0.28173494,112.33333333333333,1,0,0,0,0,-104.53174,-38.959267,-252.64201
2023-06-10 10:23:43.078849500,0.2584623,-0.22295234,-1.0420338,-0.2504339,0.05499978,0.2543316,113.0,1,0,0,0,0,-101.04872,-30.1732,-253.40634
2023-06-10 10:23:44.078849500,0.3064862,-0.09616952,-0.96224064,-0.3591422,0.12263366,1.2378193,113.0,1,0,0,0,0,-99.677925,-39.25299,-254.43587
2023-06-10 10:23:45.078849500,0.10078049,-0.21654816,-0.9882651,0.13867472,-0.19447188,0.26177645,113.0,1,0,0,0,0,-108.83496,-61.965267,-249.19678
2023-06-10 10:23:46.078849500,0.06679496,-0.4096288,-0.8341732,0.023420626,-0.16938262,-0.0028223887,113.0,1,0,0,0,0,-108.608055,-62.600037,-248.81982
2023-06-10 10:23:47.078849500,0.05921551,-0.4181326,-0.8618099,-0.025274003,0.35450974,0.24267158,113.0,1,0,0,0,0,-112.261894,-66.675896,-251.257
2023-06-10 10:23:48.078849500,-0.0034748425,-0.45368218,-0.9579466,0.042661298,0.024399368,-0.082453705,113.0,1,0,0,0,0,-117.62427,-68.537155,-250.9942
2023-06-10 10:23:49.078849500,-0.0077919005,-0.6054027,-0.83521605,0.041384794,-0.09944332,-0.036148995,113.0,1,0,0,0,0,-115.48645,-69.955124,-243.67435
2023-06-10 10:23:50.078849500,-0.0369107,-0.5713504,-0.74777466,-0.019944852,0.10901292,0.07397249,113.0,1,0,0,0,0,-119.05849,-69.495964,-242.6561
