,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,acc_x_lof,acc_y_lof,acc_z_lof,gyr_x_lof,gyr_y_lof,gyr_z_lof,hr_bpm_lof,mag_x_lof,mag_y_lof,mag_z_lof,loc_speed_lof
2023-06-10 09:18:41.078849500,0.86317164,0.68818986,-0.10487474,-0.61601394,-0.3494945,-0.13870126,,0.37,1,0,0,0,0,-90.97666,-15.357127,-241.43724,0.969034153957663,1.3507613737826822,1.4999151527874377,0.996267363750366,0.8840772519620264,1.0786832517713243,,1.0537492632351826,0.9177536903414446,0.9254263374286911,1.0
2023-06-10 09:18:42.078849500,0.930974,0.5424755,-0.16122498,0.85984373,0.17240982,1.151469,,,1,0,0,0,0,-93.51388,-15.333454,-236.66077,1.0868135460230801,1.1870362857821983,1.0205738714157984,0.9862260520742436,1.2520407014099297,0.9596114818738022,,0.934540843013391,1.102500709127284,1.057956976405628,
2023-06-10 09:18:43.078849500,0.23694016,-0.37922806,-0.7405858,-0.2121772,-0.8793422,0.6036906,,,1,0,0,0,0,-132.81602,-44.226395,-253.08615,0.9989568479045479,0.9702997544310124,1.054723639867002,2.091025141808771,1.3416532467430233,1.107545777089935,,1.0680570401664229,1.022820174449697,0.9470752172693806,
2023-06-10 09:18:44.078849500,0.022777056,-0.5112013,-0.849138,0.15811051,0.064831495,0.014736661,,,1,1,0,0,0,-139.37326,-44.351597,-252.33824,1.0998850644616103,1.7694929621567177,1.079165404301388,1.1756243252496585,1.0349800291523934,1.0582191806563246,,1.3449018532065369,1.0880622003482199,2.2263388559375934,
2023-06-10 09:18:45.078849500,0.026273785,-0.57683975,-0.8155191,0.058646515,-0.030278651,-0.047541685,,,0,1,0,0,0,-138.96567,-47.484203,-251.76811,1.0254547066848443,1.1295721328985795,1.0441422175303487,1.0309516011167161,1.0805154123103589,1.1710830953293812,,1.0294430292676107,0.9651673513886275,0.9388756930103336,
2023-06-10 09:18:46.078849500,0.14319107,-0.5259637,-0.8359473,-0.32742268,-0.0010611591,-0.22127144,,,0,1,0,0,0,-135.65228,-46.78287,-252.56377,0.9832183396024866,0.894943878051522,0.9401060816711077,1.008543589467424,1.0561941757120488,0.9512253047519633,,1.1681912280526479,1.0543348834630346,1.0570583286698063,
2023-06-10 09:18:47.078849500,0.18012337,-0.3022185,-0.93232185,0.007378011,0.035890073,0.027506184,112.0,,0,1,0,0,0,-135.62439,-41.106968,-253.51776,1.5078831259862644,0.9748072844900564,1.3603624708433435,1.0025684027066304,1.2800168229749893,1.136027630652589,1.0,1.0040687988427492,1.0033638421518465,1.3035498825276188,
2023-06-10 09:18:48.078849500,0.1918466,-0.3109362,-0.9360894,0.0045508957,0.006678366,0.00036754296,,,0,1,0,0,0,-135.42159,-40.575554,-253.81227,1.161555990087748,1.0364456614257693,1.688921414670936,1.3165499304525685,1.5354556072331504,1.023675410073078,,0.9401042375624942,0.986140175323786,0.9967715615367568,
2023-06-10 09:18:49.078849500,0.16485444,-0.30771485,-0.9376332,0.004920571,-0.014489852,-0.038084507,,,0,1,0,0,0,-135.88608,-40.730392,-253.31332,1.1880317761588683,1.1070033071582892,1.0533111159932451,0.9378872507478895,0.9824508249564045,1.3089218706082628,,1.0925736666154076,0.9334187760554677,1.0297467304994918,
2023-06-10 09:18:50.078849500,0.17717905,-0.2882026,-0.9445691,-0.024537247,-0.000330396,0.05825004,,,0,1,0,0,0,-135.70181,-40.21211,-253.33272,1.0331693928853185,1.02007623798943,1.0268991552501423,1.0777845213242243,1.2147725807588565,0.9984788546803385,,1.0722957203879584,1.2900820762575673,0.883035424405676,
2023-06-10 09:18:51.078849500,0.15228657,-0.28714743,-0.9485002,0.008111913,0.00414651,-0.03024545,109.0,,0,1,0,0,0,-136.20468,-39.677746,-253.21686,1.1115551590582196,0.9789358450970451,1.0518126782304902,1.164323472310795,0.9611110345641721,1.0088437912376473,1.0,1.1260396229875151,1.4939119509562973,1.1183156414592403,
2023-06-10 09:18:52.078849500,0.17282943,-0.2868286,-0.9453136,0.005601506,0.010749695,0.003631124,,,0,1,0,0,0,-135.6042,-39.903214,-253.44211,1.0240152551896025,0.959773092359749,1.6183022996569614,1.0515849981722891,1.1315281240172508,1.1050872309923425,,0.9732896048183474,0.9510491715059262,1.0248743592295768,
2023-06-10 09:18:53.078849500,0.1712611,-0.2881647,-0.9453726,0.009078189,-0.0014784925,-0.0146141285,108.0,,0,1,0,0,0,-135.82318,-39.88184,-253.27896,0.9824312694821256,0.9978207905940103,1.3492644243167264,1.032341825963126,1.0977246810859829,1.5503130560588505,1.0,0.9715346700287386,0.9804396590702543,1.03395218708114,
2023-06-10 09:18:54.078849500,0.17929709,-0.2792064,-0.948689,0.007909644,0.01714916,-0.027887525,,,0,1,0,0,0,-135.28067,-39.98196,-253.4978,1.7624722160601591,1.3543402495158834,1.073542126404139,1.1253454417047932,0.9495687655329484,1.0260704395905171,,0.9580728793299598,1.0147211538461538,1.0622618898845457,
2023-06-10 09:18:55.078849500,0.18198664,-0.2862871,-0.93888545,-0.0008326842,-9.078975e-05,0.012689188,,,0,1,0,0,0,-135.47952,-40.156002,-253.30913,1.0139946865913327,2.4869406804274865,1.1026523536543062,1.1036790190641987,1.272458006455435,1.0023338474204513,,1.0828258083610418,0.888378792084493,1.0297467304994918,
2023-06-10 09:18:56.078849500,0.13848618,-0.29436645,-0.95133895,0.012166045,-0.036554806,0.039727345,,,0,1,0,0,0,-136.82167,-39.729866,-253.05324,0.9268287912319941,1.104311631636559,1.1079402351755767,1.0604082257983802,2.4841566515357867,0.8741650397117493,,0.9342156967406181,1.199882830092755,1.1375193882737118,
2023-06-10 09:18:57.078849500,0.13002738,-0.29486576,-0.954813,0.013737071,-0.010362752,0.062088158,,,0,1,0,0,0,-137.02596,-39.190285,-252.90208,0.9652523241581126,1.0567082972549122,0.9382352234951629,1.1800506425421993,1.3442101368672155,0.97708766276097,,0.9712855048715525,0.9317346926809078,0.9530967764092119,
2023-06-10 09:18:58.078849500,0.0861821,-0.2634669,-0.95575535,-0.082760006,-0.053269323,0.06610046,,,0,1,0,0,0,-137.84172,-36.543427,-253.0019,1.0360094746333006,0.9093822971687614,1.3299036501701464,1.0230529548575358,0.9665359548376595,0.8992512720530852,,1.1710486419537078,1.0786280943201956,0.9828495365322203,
2023-06-10 09:18:59.078849500,0.01596756,-0.24025345,-0.97397506,0.10086869,0.09542584,0.042632222,,,0,1,0,0,0,-140.83691,-36.61248,-251.73813,0.928945483153656,1.0263900603643483,0.9471979374494787,0.9655050622809649,1.2062685679061746,0.9819021121635669,,0.9814939800272102,0.8834218068701977,1.0889024787296608,
2023-06-10 09:19:00.078849500,0.017017866,-0.31470466,-0.9497386,-0.04923379,-0.1477246,-0.14710294,,,0,1,0,0,0,-138.66304,-37.494778,-252.91927,1.0058336602905305,1.0977113925971402,1.120516564519064,1.019985797919568,0.972631602056039,1.0869640472577629,,1.103684857825328,1.7479485245627524,1.0576910515996656,
2023-06-10 09:19:01.078849500,0.046954684,-0.23563594,-0.9813513,-0.014834194,0.11907088,0.12279049,98.0,,0,1,0,0,0,-139.46481,-36.10594,-252.48457,1.1127468787703005,1.9088090517692504,0.9399117521931335,1.1552705304215865,0.8401399963013404,0.9703131700684674,1.0,1.008772330069507,1.45739251779192,1.234330089494817,
2023-06-10 09:19:02.078849500,0.052285157,-0.3113797,-0.93764997,0.073952205,0.014954461,-0.022052694,,,0,1,0,0,0,-138.93346,-38.538586,-252.83066,1.7348101662930548,1.2776201080894252,1.0686703856945587,0.8767215407547758,1.0028096461224527,0.9341134252417875,,0.9466264085887923,0.9544608268035627,2.7476228172969854,
