,bpm,time
416,94.0,1686206000000000000
417,93.0,1686206005000000000
418,92.0,1686206011000000000
419,92.0,1686206014000000000
420,92.0,1686206021000000000
421,93.0,1686206023000000000
422,92.0,1686206030000000000
423,92.0,1686206033000000000
424,90.0,1686206040000000000
425,91.0,1686206047000000000
426,91.0,1686206052000000000
427,91.0,1686206053000000000
428,90.0,1686206062000000000
429,90.0,1686206065000000000
430,89.0,1686206071000000000
431,89.0,1686206076000000000
432,89.0,1686206080000000000
433,88.0,1686206085000000000
434,90.0,1686206092000000000
435,90.0,1686206097000000000
436,90.0,1686206099000000000
437,89.0,1686206103000000000
438,90.0,1686206111000000000
439,90.0,1686206114000000000
440,90.0,1686206122000000000
441,90.0,1686206127000000000
442,90.0,1686206131000000000
443,89.0,1686206137000000000
444,89.0,1686206140000000000
445,89.0,1686206143000000000
446,89.0,1686206150000000000
447,89.0,1686206155000000000
448,89.0,1686206159000000000
449,89.0,1686206163000000000
450,90.0,1686206171000000000
451,89.0,1686206176000000000
452,87.0,1686206182000000000
453,87.0,1686206183000000000
454,86.0,1686206192000000000
455,85.0,1686206193000000000
456,88.0,1686206202000000000
457,86.0,1686206207000000000
458,86.0,1686206208000000000
459,86.0,1686206213000000000
460,88.0,1686206218000000000
461,93.0,1686206226000000000
462,93.0,1686206232000000000
463,92.0,1686206236000000000
464,91.0,1686206238000000000
465,91.0,1686206243000000000
466,92.0,1686206252000000000
467,92.0,1686206253000000000
468,94.0,1686206259000000000
469,94.0,1686206263000000000
470,96.0,1686206269000000000
471,97.0,1686206273000000000
472,101.0,1686206282000000000
473,99.0,1686206285000000000
474,97.0,1686206292000000000
475,99.0,1686206297000000000
476,99.0,1686206299000000000
477,99.0,1686206303000000000
478,99.0,1686206308000000000
479,99.0,1686206313000000000
480,99.0,1686206320000000000
481,95.0,1686206327000000000
482,93.0,1686206332000000000
483,94.0,1686206334000000000
484,95.0,1686206338000000000
485,96.0,1686206343000000000
486,98.0,1686206352000000000
487,98.0,1686206357000000000
488,97.0,1686206358000000000
489,94.0,1686206363000000000
490,94.0,1686206372000000000
491,93.0,1686206376000000000
492,100.0,1686206382000000000
493,100.0,1686206383000000000
494,97.0,1686206391000000000
495,98.0,1686206394000000000
496,100.0,1686206400000000000
497,101.0,1686206403000000000
498,102.0,1686206412000000000
499,102.0,1686206417000000000
500,102.0,1686206418000000000
501,101.0,1686206423000000000
502,98.0,1686206431000000000
503,94.0,1686206435000000000
504,94.0,1686206441000000000
505,93.0,1686206443000000000
506,92.0,1686206449000000000
507,93.0,1686206457000000000
508,93.0,1686206458000000000
509,94.0,1686206467000000000
510,90.0,1686206472000000000
511,90.0,1686206473000000000
512,92.0,1686206479000000000
513,95.0,1686206487000000000
