,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:50:32.578849500,0.8078143,0.28634208,0.09513232,-0.3320964,0.6658371999999999,0.41095820000000005,85.0,1.2584886999999998,1,0,0,0,0,-94.0355,-8.247572,-223.21306
2023-06-10 09:50:33.078849500,0.9372223,0.43158874,-0.13720001,1.4724082,-0.43334723,-0.7123599,,,1,0,0,0,0,-95.51595,-7.8073554000000005,-231.7496
2023-06-10 09:50:33.578849500,0.6396451,0.71918887,-0.07597718,-0.81137794,0.021160211,-0.11358749,85.0,1.1785985,1,0,0,0,0,-109.69743999999999,3.364111,-234.67087999999998
2023-06-10 09:50:34.078849500,0.8272054,0.51079357,0.0023535904,0.45307094,0.69093806,-0.78816766,,,1,0,0,0,0,-105.713875,2.909266,-226.72714
2023-06-10 09:50:34.578849500,0.6455798,0.97742033,-0.00632843,0.39968657,1.4059567,0.6694358,,1.0323858,1,0,0,0,0,-115.90991000000001,-0.7642304,-238.45605
2023-06-10 09:50:35.078849500,0.6272757,0.6359659000000001,0.21313232,0.29310359999999996,0.5707748,0.6943732,,,1,0,0,0,0,-101.632545,-7.915349000000001,-223.45917000000003
2023-06-10 09:50:35.578849500,0.45573893,0.89690727,0.019372433,-0.87223715,-2.0524817,-0.535934,,1.2879923999999998,1,0,0,0,0,-111.938934,2.6372614,-236.73237999999998
2023-06-10 09:50:36.078849500,0.54585814,0.80049103,0.010661011000000001,-2.0427581999999997,-1.5892395000000001,-0.24163003,,,1,0,0,0,0,-123.74472,9.319483,-212.22052000000002
2023-06-10 09:50:36.578849500,0.67213625,0.7377539000000001,0.15418518,-0.34387028,-0.8626975,-0.03383934,,0.9394296999999998,1,0,0,0,0,-116.84816000000001,-0.50243926,-188.93599
2023-06-10 09:50:37.078849500,0.6579132,0.7748074,0.06864213,-0.89612556,-0.8071708000000001,-0.19306132,,,1,0,0,0,0,-105.01401000000001,-10.256122999999999,-185.46843
2023-06-10 09:50:37.578849500,0.5957608,0.76686525,0.23021789,-0.0500593,-0.048102334000000004,-0.0793729,,1.6070911,1,0,0,0,0,-101.22886,-15.996460999999998,-183.06232
2023-06-10 09:50:38.078849500,0.61250395,0.7736523,0.17640473,-0.028098661,0.0064166053,0.11321507,,,1,0,0,0,0,-100.84095,-14.576652,-184.12035
2023-06-10 09:50:38.578849500,0.66702646,0.74015373,0.11627197,-0.051906685999999994,-0.26132178,-0.013657675,84.0,1.7001858,1,0,0,0,0,-96.98189,-15.509051999999999,-188.39774
2023-06-10 09:50:39.078849500,0.6577084,0.75180054,0.08778869,-0.030856732,-0.07130826,-0.031235102999999997,,,1,0,0,0,0,-94.91275999999999,-16.021727,-190.87187
2023-06-10 09:50:39.578849500,0.65895355,0.740011,0.08896454,0.2326752,0.21931791,0.077815935,,0.0,1,0,0,0,0,-95.14211999999999,-16.14979,-190.80916000000002
2023-06-10 09:50:40.078849500,0.67255294,0.74038666,0.057117075,0.35774094,0.27427638,0.071641825,,,1,0,0,0,0,-98.86270999999999,-12.472727,-189.32312
2023-06-10 09:50:40.578849500,0.71090025,0.73496336,0.09563629,-0.2829282,-0.36593226,-0.07796144,,0.35452396,1,0,0,0,0,-97.48747,-13.336020999999999,-191.31944
2023-06-10 09:50:41.078849500,0.6546799,0.62283814,0.2417871,-0.11049693,0.8157005,0.09524614,,,1,0,0,0,0,-99.17788,-21.273113000000002,-190.96101000000002
2023-06-10 09:50:41.578849500,0.65478796,0.8046489,0.14404048,0.91449225,0.48101866,0.3807469,,0.06389008,1,0,0,0,0,-109.4089,-11.922742999999999,-195.12796
2023-06-10 09:50:42.078849500,0.6896701,0.7506223000000001,0.05322265599999999,-0.08705793,-0.44604358,-0.07451759,,,1,0,0,0,0,-108.22973,-7.025174000000001,-201.58113
2023-06-10 09:50:42.578849500,0.58673495,0.7997757,0.064042665,-0.5768147,-0.1610964,-0.08163525,,0.120038144,1,0,0,0,0,-107.36753999999999,-8.381189,-200.10365
2023-06-10 09:50:43.078849500,0.5777291999999999,0.7311255,0.28185040000000006,-0.30701652,0.10935064,-0.014591753,,,1,0,0,0,0,-108.51588999999998,-11.644041,-194.5906
2023-06-10 09:50:43.578849500,0.641886,0.77297544,0.18896455,-0.52424985,-0.96423435,-0.058536787,85.0,0.16528851,1,0,0,0,0,-102.26881999999999,-16.830297,-194.79066
2023-06-10 09:50:44.078849500,0.6774060000000001,0.71095157,0.14983796,-0.40674555,-0.2787666,-0.09633028,,,1,0,0,0,0,-93.63679,-21.136742,-201.93939
2023-06-10 09:50:44.578849500,0.6678115,0.71194834,0.23591396,0.1805809,-0.04414996,-0.08629379,,0.2691595,1,0,0,0,0,-92.1473,-21.48289,-194.5032
2023-06-10 09:50:45.078849500,0.67139924,0.7465268,0.19257385,0.026424155,0.60742456,0.28101802,,,1,0,0,0,0,,-36.514687,-183.43776
2023-06-10 09:50:45.578849500,0.62223876,0.71746767,0.22764038,0.765878,0.23625429999999997,-0.06406096,,0.1955065,1,0,0,0,0,-74.16098000000001,-25.449745,-201.85994
2023-06-10 09:50:46.078849500,0.6406215999999999,0.7694668,0.06366621,-0.015551352,-0.11051416,0.042093,,,1,0,0,0,0,-85.22895,-20.100765,-199.12143999999998
2023-06-10 09:50:46.578849500,0.65192324,0.76139313,0.088991396,-0.0354403,0.3812932,-0.01631191,,0.11956452599999999,1,0,0,0,0,-84.70557,-21.142778,-196.29576
2023-06-10 09:50:47.078849500,0.6706955,0.7091937,0.28908113,0.12813462,-0.37199770000000004,0.006705686,,,1,0,0,0,0,-71.20867,-19.728806,
2023-06-10 09:50:47.578849500,0.69277704,0.56970245,0.39523688,0.0058410726,0.66410345,0.14480516,,0.11215149,1,0,0,0,0,-112.731834,-6.9757924,-187.02936
2023-06-10 09:50:48.078849500,0.58880186,0.7958472,0.10383789,0.1425237,-1.3562843999999998,-0.1672904,,,1,0,0,0,0,-107.33453999999999,-5.793677,-194.96425
2023-06-10 09:50:48.578849500,0.69374645,0.89424753,0.032163657000000005,-1.6472436999999998,0.08507803,0.42426506,,0.18842956,1,0,0,0,0,-98.62294,-9.24736,-200.41278
2023-06-10 09:50:49.078849500,0.61941284,0.6771069000000001,0.26725066,0.35429057,-0.81562984,-0.3343565,,,1,0,0,0,0,-96.48092,-19.22877,-193.25713000000002
2023-06-10 09:50:49.578849500,0.6819193,0.85045594,0.09673736,-1.1905636,-0.23870385,0.030601256,,0.18607682,1,0,0,0,0,-92.46531,-13.410264000000002,-207.32843
